name,ranking,tier,LP,level,win,lose,winratio
Cuz2,709,Master,69,48,53,22,71%
MyHurt,710,Master,6,96,613,552,53%
HLESeongHwan,711,Master,29,106,399,371,52%
Wonnut,712,Master,29,145,230,192,55%
Chatsher,713,Master,29,67,201,170,54%
»çÀÌÁÁ°ÔÁö³»¿ä¿À,714,Master,29,73,116,82,59%
tzscch,715,Master,28,108,649,580,53%
Medlolz,716,Master,28,56,210,150,58%
alletum,717,Master,27,117,705,664,51%
ÀÌÆ²µÚ¿¡¸¸³ª¿ä,718,Master,15,145,652,625,51%
pandaTVhuiren,719,Master,32,55,191,129,60%
PaIette,720,Master,0,136,805,786,51%
ÀÚ¸ŞÀÌÄ«ÈæÀÎ,721,Master,86,83,376,331,53%
½Ã°è¿Õ,722,Master,26,95,294,250,54%
lbkgnfkgng,723,Master,26,77,221,171,56%
Nearly,724,Master,26,82,197,154,56%
Homme,725,Master,25,105,646,564,53%
¿ù¼öÈ­¸ñÅä±İÀÏ,726,Master,7,76,237,209,53%
kkkiwi,727,Master,0,60,204,174,54%
²¿¸¶Áø¿ì,728,Master,92,74,288,224,56%
´ÙÀßÇÏ´ÂÁÖ¿µ,729,Master,23,111,393,362,52%
¹Ò´©,730,Master,23,97,353,318,53%
¸ğ±â°¡¸ğ±â¾ÆÆÄ,731,Master,23,73,290,245,54%
ºÎ»ê´ë°øºÎ¿Õ,732,Master,23,70,236,197,55%
LOVEXYT,733,Master,23,57,188,131,59%
´©±¸µµ³¯¸ğ¸¦²¬,734,Master,22,83,189,155,55%
­lÇÏ,735,Master,22,142,133,98,58%
2472212del,736,Master,22,46,72,24,75%
¸ğµÎ°¡ÀÀ¿øÇÏ´Ù,737,Master,21,176,891,864,51%
eatsleepisshit,738,Master,21,190,732,709,51%
ififififif,739,Master,21,112,489,461,51%
20488995,740,Master,21,113,439,402,52%
SKTT1WoIf,741,Master,21,106,337,302,53%
AfreecaKramer,742,Master,21,101,323,288,53%
KICKTURN,743,Master,21,43,111,53,68%
È÷·Îºó,744,Master,0,78,328,292,53%
¹ãÇÏ´ÃÀº,745,Master,19,103,676,627,52%
Á¶lusi,746,Master,19,120,495,478,51%
FoxBRemind,747,Master,19,96,232,187,55%
Tsaonaichien,748,Master,19,44,124,109,53%
BananaKin,749,Master,18,165,1134,1105,51%
Diodio,750,Master,18,140,673,653,51%
±âÇõ´ÏÀºµğ±Ú,751,Master,18,135,513,499,51%
lonelinessr,752,Master,18,113,482,454,51%
¸ğµ¥²Ù¸£Àë,753,Master,36,160,466,430,52%
mIxgzzzZ,754,Master,18,77,371,329,53%
MADPiPi,755,Master,17,132,644,643,50%
¿øµôÀü¿ë¶óÀÌ³Ê,756,Master,60,98,635,521,55%
HMGBOT,757,Master,17,160,536,468,53%
ÇÑ³²»ç³É²Û±èÁøÈ£,758,Master,17,96,522,482,52%
babymimi,759,Diamond 1,68,122,511,479,52%
´ë±¸³Ê¹«´õ¿ö¿ä,760,Master,17,119,402,387,51%
LCVS02,761,Diamond 1,35,89,258,239,52%
ºÎ²ôºÎ²ô,762,Master,17,65,160,115,58%
½½¿ä¹Ì,763,Master,17,36,75,16,82%
¾ûµ¢±¹µ¥¸®¹ö°Å,764,Master,17,108,522,491,52%
°³Âï°Ü,765,Master,16,83,464,388,54%
Å°173cmÃ¼Áß42kg,766,Master,16,104,348,318,52%
GCACadenza,767,Master,16,95,254,204,55%
AlphaGo002,768,Master,16,64,236,213,53%
me2,769,Master,16,90,236,207,53%
AFY,770,Master,16,77,225,175,56%
º¥Á¦¸Á,771,Master,16,57,213,134,61%
½Ç¼ö´Â´©±¸³ªÇÑ´Ù,772,Master,8,63,197,156,56%
¿øµôÁ¢À¸¸é¿Ã¶ó°¨,773,Master,66,79,185,139,57%
Wantbebestmid,774,Master,16,56,168,110,60%
¸»¶ó¸»¶ó¸¶Ãò,775,Master,16,92,120,77,61%
lÆäÀÎo,776,Master,15,103,553,502,52%
miaohulu,777,Master,15,87,339,319,52%
1000Nights,778,Master,15,87,338,305,53%
ÇÏÅ°ÄÚ,779,Master,15,65,200,122,62%
TakeMyHearti,780,Master,0,48,161,106,60%
MEEEEEEEEE,781,Master,15,97,104,67,61%
Blowakiss,782,Master,14,212,1089,1085,50%
Iissandra,783,Master,14,162,733,697,51%
ÀÏ·¹¹Ì´¨,784,Master,28,148,640,609,51%
½¨°ú³ªÀÇ¿¬°á°í¸®,785,Diamond 1,16,148,492,468,51%
SuSh1,786,Master,14,104,360,332,52%
xindeshuguang,787,Master,13,104,635,549,54%
SKTT1kongda,788,Master,13,62,286,189,60%
Áö±¸¾ß±×·³¸ñ¼º,789,Master,45,154,275,242,53%
·¹µåº§ºª°«¿¹¸®,790,Master,13,97,231,192,55%
Myute,791,Master,13,77,164,120,58%
»çÁ¤¾ø´ÂÇÇ½ºÅæ,792,Master,13,67,132,99,57%
yexushixiang,793,Master,26,60,105,52,67%
Çõ¿ÀÇõ¿À,794,Master,45,157,651,613,52%
KRsuppsuppsup,795,Master,12,43,116,69,63%
¸ğ¸£ÅÊ,796,Master,11,70,368,301,55%
ÇÁ¾Æ´¢,797,Master,11,49,115,59,66%
yuchenge,798,Master,10,48,165,124,57%
ÈÄÅ©³ë½º,799,Master,10,38,79,27,75%
Ã¾ÇÏ¿À,800,Master,9,113,678,647,51%
¶òÅ·¿Õ,801,Master,60,85,240,198,55%
½º¸¶Æ®¼½½ÃºäÆ¼,802,Master,8,146,519,490,51%
Beriah,803,Master,8,111,387,330,54%
Rh4psody,804,Master,0,108,331,304,52%
´ÙÇöÁØÀÇ,805,Master,7,102,241,203,54%
½Ã°£ÀÇ½£,806,Master,7,65,236,165,59%
20180817,807,Master,6,93,582,507,53%
µÎ·ç¹Ìlv18,808,Master,6,105,478,442,52%
PandaTV51741,809,Master,23,84,269,232,54%
jidedaibiyuntao,810,Master,6,59,254,161,61%
truemyheart,811,Master,5,97,348,318,52%
FairyPuma,812,Master,123,41,118,56,68%
InuyamaAoi,813,Master,2,89,429,404,52%
Incheon·À°¡,814,Master,52,105,402,359,53%
wanthome,815,Master,0,192,1140,1121,50%
È­·ÁÇÑ¼Ö·ÎÅ³,816,Diamond 1,17,191,1026,999,51%
³Ê³ª¸·À¸¸é¾ÈµÅ,817,Master,0,162,1011,977,51%
MrPJ,818,Master,0,159,995,940,51%
iKppeuNi,819,Master,0,154,870,841,51%
ÃÊÄÚ¿ìÀ¯¸ÀÀÖ¾û,820,Master,0,165,769,738,51%
ShowMarryStand,821,Master,42,140,692,651,52%
ShiHaiLun,822,Master,0,106,668,609,52%
³ÉÃ¼,823,Master,0,186,652,623,51%
OVerdaO,824,Master,0,150,649,623,51%
fakerORruler,825,Diamond 1,34,136,644,638,50%
skrskrskrskrskr,826,Master,0,126,640,608,51%
Çà¼ºÅ×·¯¹ü,827,Diamond 1,71,102,641,604,51%
Alemgu,828,Master,0,173,620,593,51%
pouroutpassion,829,Diamond 1,100,112,621,589,51%
TomoyaAki,830,Master,0,148,615,593,51%
coldplayy,831,Master,0,99,610,577,51%
¾Æ¸£´Ï½º,832,Master,0,152,593,558,52%
°£´ÙÃ§¸°Àú³ª´Â,833,Master,17,124,574,547,51%
½Ø¹è·¡°¡,834,Master,18,138,566,530,52%
Zz1Zz1mm,835,Diamond 1,50,88,548,480,53%
O¿¬ÇÑ³²»öo,836,Master,14,89,522,433,55%
½¹Åä¸®,837,Master,0,161,518,495,51%
ÀÌ±×ÀÚÀÏMoon,838,Diamond 1,50,124,500,461,52%
CamilleK,839,Master,0,116,498,455,52%
¿¹À²,840,Master,0,142,496,439,53%
¸¶À¯Áî¹Ì,841,Master,0,112,471,431,52%
GUCCIGAENG,842,Diamond 1,50,109,467,445,51%
20001206,843,Master,0,117,453,427,51%
LifeisSol,844,Diamond 1,91,91,449,416,52%
¸ğ¸ğ,845,Master,0,116,439,409,52%
Likemyself,846,Master,0,76,405,375,52%
¿À°øÀÌ¿ä,847,Master,0,110,387,352,52%
1ÀÏ30ºĞ,848,Master,18,94,364,330,52%
Megalia,849,Diamond 1,34,81,363,342,51%
³Õ²Ü,850,Master,0,113,353,319,53%
BtCHollow,851,Master,0,92,352,331,52%
¸ğ½ò¾Æ½ÎÈ÷Å°¹é¼ö,852,Master,0,90,344,308,53%
À¯ÀÚÂ÷¶¯±è,853,Master,0,65,343,244,58%
»Ç½ºÅ¸¼¼¿µ,854,Master,0,79,338,287,54%
Silky,855,Master,0,92,328,294,53%
pupurourou,856,Master,0,70,324,291,53%
FairySILPH,857,Master,0,106,318,281,53%
»Ç¼Û»Ç¼Û°³»Ç¼Û,858,Master,0,93,313,272,54%
17Â©¼­Æı,859,Master,0,72,309,251,55%
VictoriaIsland,860,Master,0,73,298,256,54%
Å»¸ğÀ¯¸ÁÁÖ,861,Master,0,70,294,225,57%
WNSLucifer,862,Master,0,97,284,266,52%
ChoiinSec,863,Master,0,75,267,238,53%
¸¼°Ô°µÇÏ´Ã¾Æ,864,Master,15,89,263,227,54%
´õºíºñº¸¹°¼¶,865,Master,0,100,260,233,53%
dzs,866,Master,0,66,252,221,53%
ÀÌ±×ÀÚÀÏÁ¶ÀÌ,867,Master,0,68,247,178,58%
XiNA,868,Master,25,72,252,212,54%
¸·°É¸®¼Ò¹É¸®¿¡,869,Master,0,72,246,212,54%
Dabb1er,870,Master,0,59,238,166,59%
³Í¿©ÀüÈ÷¿¹»Ú´Ù,871,Diamond 1,51,99,233,210,53%
absdf12345,872,Master,0,90,221,197,53%
Ä«Ä«¿ÀÅåÀº³ë¶õ»ö,873,Master,0,71,214,168,56%
He1wa,874,Master,47,57,216,141,61%
¹é²á,875,Master,0,131,205,177,54%
Labest,876,Master,0,54,196,148,57%
YOUSONOJAM,877,Master,0,60,196,154,56%
±×¸®¿ü´ø³¯,878,Master,0,85,195,165,54%
ÀÍ´¨,879,Master,0,97,193,155,55%
Âî²¨±â,880,Master,0,88,190,148,56%
Èñ¸Á¹ÏÀ½½Å·Ú,881,Master,0,68,189,158,54%
Á¶¿ëÈ÷°×¸¸ÇØ¿©,882,Master,0,75,184,155,54%
lºí·çºñÆ²l,883,Master,0,69,182,150,55%
¾ÆÀÌº¸¸®»ç»ıÆÒ,884,Master,0,68,181,132,58%
Micca,885,Master,0,101,178,147,55%
Idonothaveto,886,Master,0,55,155,90,63%
ÆÀÀÌµÚÆ²¸°»ç¶÷,887,Master,0,87,153,126,55%
¹Ì¾ÖÅ³·¯,888,Master,0,52,151,93,62%
µ¨ÀÌ°¡Áø¾Æ¿¡°Ô,889,Master,0,69,147,88,63%
hunjiuwanshile,890,Master,0,45,146,98,60%
hhhi,891,Master,0,77,143,113,56%
±ºÀÎÀÌ¶óÀß¸øÇØ¿ä,892,Master,0,53,142,97,59%
°Ü¿ïµ¿È­¹ÚÁ¾¿ì,893,Master,0,61,139,103,57%
ÀáÀÚ¾ßÇÏ´Â»ç¶÷,894,Master,0,63,136,104,57%
¸ù°¥,895,Master,0,59,133,85,61%
¿ÍÄ­´ÙÁöÅ´ÀÌ,896,Master,14,66,133,104,56%
twistwrist,897,Master,0,44,128,69,65%
dreamscametrue,898,Master,0,65,123,92,57%
Cord9,899,Master,0,43,117,68,63%
Queenswan,900,Master,14,65,111,80,58%
ÀÎ¼º¼¼°èÃÖ°­,901,Master,0,47,103,63,62%
erdfhaga,902,Master,0,40,97,45,68%
±Ó¸»±İÁö,903,Master,0,101,92,36,72%
±Ö·¼·ç¾ß,904,Diamond 1,50,47,89,60,60%
Tomjerry,905,Master,0,58,88,37,70%
SeImoh,906,Master,0,40,84,31,73%
52·ÁÁÁ´Ù,907,Master,0,38,84,40,68%
gragaszz,908,Master,0,46,84,61,58%
Unisia,909,Master,0,45,79,28,74%
IwantgoLPL,910,Master,0,36,69,14,83%
À¯¾Æ½º,911,Master,0,93,55,23,71%
xenxenxen,912,Master,67,137,859,815,51%
±¤¾î´Â¼­´º²¨,913,Diamond 1,100,179,711,697,50%
killerJingjia,914,Diamond 1,100,109,604,585,51%
godad1,915,Diamond 1,100,97,570,547,51%
TRYyy,916,Diamond 1,23,127,547,516,51%
Cott0n,917,Diamond 1,100,152,529,500,51%
Áö¿ø¾Æº¸°í½Í´Ù,918,Master,0,106,510,473,52%
¿¬ÃÊº¸,919,Diamond 1,100,91,470,436,52%
JWE,920,Master,0,134,449,415,52%
Arrange,921,Diamond 1,100,98,436,408,52%
Nathan2,922,Diamond 1,100,79,431,375,53%
ÇØ¹æµÈºĞ³ëÈ«ÁøÈñ,923,Diamond 1,100,132,420,393,52%
Fancity,924,Diamond 1,100,91,401,361,53%
IAkameI,925,Master,0,73,362,322,53%
b1t,926,Diamond 1,100,171,353,311,53%
Âü¿ë,927,Diamond 1,100,93,343,287,54%
HLELava,928,Diamond 1,100,93,310,281,52%
±¸±Ù¸ğ¸ÛÃ»ÀÌ,929,Diamond 1,100,96,298,257,54%
Áö´À¸Ó¸®¾û°ÏÄû,930,Diamond 1,100,76,293,233,56%
AMask,931,Diamond 1,100,74,284,250,53%
KDMSSol,932,Diamond 1,100,74,199,169,54%
¹ö½º°«ÁöÁö,933,Diamond 1,100,64,180,147,55%
¾î¸®¼®Àº´ç³ª±Í,934,Diamond 1,100,87,167,122,58%
²Ù·Î¹Ì,935,Diamond 1,100,52,165,127,57%
±Í¿ä¿ì¹Ö±¸µ¶,936,Master,16,41,107,53,67%
Æ®¶óÀÌ¾Æ¿ô,937,Diamond 1,100,49,97,74,57%
Ninhaojiandao,938,Diamond 1,100,39,88,32,73%
Enerky,939,Diamond 1,100,105,81,50,62%
ÅÂÃÊ¸¶À»ÀÇÇÑÁö¿ì,940,Diamond 1,99,110,447,416,52%
±æ¿µ,941,Diamond 1,99,96,302,278,52%
¹ã³·¹Ù²Ù°í½Í¾î,942,Diamond 1,99,39,71,27,72%
yariakcaJ,943,Diamond 1,100,194,968,938,51%
ºí·ç¸®½¬ÀßÇØ¿ä,944,Diamond 1,96,120,636,621,51%
»¡°£´ŞÆØÀÌLv3,945,Diamond 1,49,196,388,362,52%
¿ë½Å2,946,Diamond 1,97,111,208,182,53%
ZooE,947,Diamond 1,97,123,174,103,63%
Gric,948,Diamond 1,97,110,155,132,54%
cqd,949,Diamond 1,97,48,144,76,65%
NeverbeCarryC,950,Diamond 1,96,199,1058,1037,51%
Wdzzdy,951,Master,0,128,629,607,51%
1000z,952,Diamond 1,95,127,600,571,51%
ÇÔ¹°,953,Diamond 1,95,90,325,269,55%
»ı°¢¸ŞÅ¸,954,Diamond 1,95,95,246,194,56%
solaflora,955,Diamond 1,95,46,138,77,64%
ForbesKorea,956,Diamond 1,94,108,551,514,52%
Giveuponyou,957,Diamond 1,94,77,441,371,54%
Agnesclyde,958,Diamond 1,94,127,210,176,54%
»êÈñ,959,Diamond 1,93,109,181,159,53%
Medness,960,Diamond 1,93,47,81,50,62%
¿Ïº®ÇØ¿ç,961,Diamond 1,72,176,639,612,51%
´îÁö¾î´Ù,962,Diamond 1,100,77,196,164,54%
say1O,963,Diamond 1,91,111,631,609,51%
buzailiulian,964,Diamond 1,83,96,567,478,54%
YOYOuuuuuO,965,Diamond 1,91,83,165,136,55%
SofyÇÑ°á,966,Diamond 1,85,163,851,824,51%
glELs,967,Master,0,115,705,677,51%
Flah,968,Diamond 1,90,137,598,578,51%
5000¸¸,969,Diamond 1,90,98,331,295,53%
So1o,970,Diamond 1,90,92,317,267,54%
ÀÌ±â°í1½Í´Ù,971,Diamond 1,90,68,271,222,55%
1rony,972,Diamond 1,90,83,261,229,53%
asar,973,Diamond 1,90,85,251,218,54%
zibiyaomouren,974,Diamond 1,80,55,236,146,62%
¸ñ±ß±â,975,Diamond 1,90,148,204,147,58%
³ª¾ß³ª¿©±â¿©±â,976,Diamond 1,90,65,196,156,56%
13215164,977,Diamond 1,90,69,177,154,53%
ÀÌµµ·ç,978,Diamond 1,90,55,168,116,59%
»Ú³óÀÌ,979,Diamond 1,90,76,160,138,54%
¹è¿ì´Â°úÁ¤,980,Diamond 1,90,65,149,126,54%
°íºĞ¸ÓÀå,981,Diamond 1,100,63,105,63,63%
ÇÑÈ­ÆÒÀÌ¶óÇàº¹ÇØ,982,Diamond 1,90,51,96,49,66%
INOkynee,983,Diamond 1,90,119,92,61,60%
Nab1,984,Diamond 1,90,37,69,17,80%
AfreecaRuby,985,Diamond 1,89,128,692,667,51%
Permaban10201944,986,Diamond 1,89,87,524,415,56%
¹«¾ùÀÌÁ¤´äÀÏ±î,987,Diamond 1,89,59,215,157,58%
½º´«ÀÌ,988,Diamond 1,89,68,182,157,54%
ÀÌ·ÎÄ«¿Í·çÅ°,989,Diamond 1,89,56,160,109,59%
ZiÁ¸ÆÄ¿ö¼¼¸²Â¯Â¯,990,Diamond 1,89,55,129,102,56%
kokuru,991,Diamond 1,88,162,690,667,51%
LinLan,992,Diamond 1,88,89,348,327,52%
Luhh,993,Diamond 1,88,84,151,129,54%
Relempago,994,Diamond 1,88,41,98,38,72%
Âî´Ï¹Ù¶ó±â,995,Diamond 1,88,147,74,44,63%
junmoxxx,996,Diamond 1,3,88,358,318,53%
´ÃÀßÇÒ¼ö´Â¾ø´Ù,997,Diamond 1,87,87,273,254,52%
È­·ÃÀÌ,998,Diamond 1,87,99,238,211,53%
Dontturnback,999,Diamond 1,86,70,287,227,56%
»ı¶×¸ÂÀº¾Ş¶×½ß¶×,1000,Diamond 1,86,52,142,78,65%
