name,ranking,tier,LP,level,win,lose,winratio
Çõ¿ÀÇõ¿À,794,Master,45,157,651,613,52%
KR suppsuppsup,795,Master,12,43,116,69,63%
¸ð¸£ÅÊ,796,Master,11,70,368,301,55%
ÇÁ¾Æ´¢,797,Master,11,49,115,59,66%
yuchenge,798,Master,10,48,165,124,57%
ÈÄÅ©³ë½º,799,Master,10,38,79,27,75%
Ã¾ ÇÏ¿À,800,Master,9,113,678,647,51%
¶òÅ·¿Õ,801,Master,60,85,240,198,55%
½º¸¶Æ®¼½½ÃºäÆ¼,802,Master,8,146,519,490,51%
Beriah,803,Master,8,111,387,330,54%
Rh4psody,804,Master,0,108,331,304,52%
´ÙÇöÁØÀÇ,805,Master,7,102,241,203,54%
½Ã°£ÀÇ ½£,806,Master,7,65,236,165,59%
20180817,807,Master,6,93,582,507,53%
µÎ·ç¹Ì lv18,808,Master,6,105,478,442,52%
PandaTV51741,809,Master,23,84,269,232,54%
jidedaibiyuntao,810,Master,6,59,254,161,61%
true my heart,811,Master,5,97,348,318,52%
Fairy Puma,812,Master,123,41,118,56,68%
Inuyama Aoi,813,Master,2,89,429,404,52%
Incheon·À°¡,814,Master,52,105,402,359,53%
wanthome,815,Master,0,192,1140,1121,50%
È­·ÁÇÑ ¼Ö·ÎÅ³,816,Diamond 1,17,191,1026,999,51%
³Ê³ª¸· À¸¸é¾ÈµÅ,817,Master,0,162,1011,977,51%
MrPJ,818,Master,0,159,995,940,51%
iKppeuNi,819,Master,0,154,870,841,51%
ÃÊÄÚ¿ìÀ¯ ¸ÀÀÖ¾û,820,Master,0,165,769,738,51%
ShowMarryStand,821,Master,42,140,692,651,52%
Shi Hai Lun,822,Master,0,106,668,609,52%
³É Ã¼,823,Master,0,186,652,623,51%
OVerdaO,824,Master,0,150,649,623,51%
faker OR ruler,825,Diamond 1,34,136,644,638,50%
skrskrskrskrskr,826,Master,0,126,640,608,51%
Çà¼ºÅ×·¯¹ü,827,Diamond 1,71,102,641,604,51%
Alem gu,828,Master,0,173,620,593,51%
pour out passion,829,Diamond 1,100,112,621,589,51%
 Tomoya Aki ,830,Master,0,148,615,593,51%
coldplayy,831,Master,0,99,610,577,51%
¾Æ¸£´Ï½º,832,Master,0,152,593,558,52%
°£´Ù Ã§¸°Àú ³ª´Â,833,Master,17,124,574,547,51%
½Ø¹è·¡°¡,834,Master,18,138,566,530,52%
Zz1Zz1mm,835,Diamond 1,50,88,548,480,53%
O¿¬ÇÑ  ³²»öo,836,Master,14,89,522,433,55%
½¹Åä¸®,837,Master,0,161,518,495,51%
ÀÌ±×ÀÚÀÏ Moon,838,Diamond 1,50,124,500,461,52%
Camille K,839,Master,0,116,498,455,52%
¿¹ À²,840,Master,0,142,496,439,53%
¸¶À¯Áî¹Ì,841,Master,0,112,471,431,52%
GUCCI GAENG,842,Diamond 1,50,109,467,445,51%
2000 12 06,843,Master,0,117,453,427,51%
Life is Sol,844,Diamond 1,91,91,449,416,52%
¸ð ¸ð,845,Master,0,116,439,409,52%
Like myself,846,Master,0,76,405,375,52%
¿À°øÀÌ¿ä,847,Master,0,110,387,352,52%
1ÀÏ30ºÐ,848,Master,18,94,364,330,52%
Megalia,849,Diamond 1,34,81,363,342,51%
³Õ ²Ü,850,Master,0,113,353,319,53%
BtC Hollow,851,Master,0,92,352,331,52%
¸ð½ò¾Æ½ÎÈ÷Å°¹é¼ö,852,Master,0,90,344,308,53%
À¯ÀÚÂ÷¶¯±è,853,Master,0,65,343,244,58%
»Ç½ºÅ¸¼¼¿µ,854,Master,0,79,338,287,54%
Silky,855,Master,0,92,328,294,53%
pupurourou,856,Master,0,70,324,291,53%
Fairy SILPH,857,Master,0,106,318,281,53%
»Ç¼Û»Ç¼Û°³»Ç¼Û,858,Master,0,93,313,272,54%
17Â© ¼­Æý,859,Master,0,72,309,251,55%
Victoria Island,860,Master,0,73,298,256,54%
Å»¸ðÀ¯¸ÁÁÖ,861,Master,0,70,294,225,57%
WNS Lucifer,862,Master,0,97,284,266,52%
Choi inSec,863,Master,0,75,267,238,53%
¸¼°Ô °µ ÇÏ´Ã¾Æ,864,Master,15,89,263,227,54%
´õºíºñ º¸¹°¼¶,865,Master,0,100,260,233,53%
dzs,866,Master,0,66,252,221,53%
ÀÌ±×ÀÚÀÏ Á¶ÀÌ,867,Master,0,68,247,178,58%
XiNA,868,Master,25,72,252,212,54%
¸·°É¸® ¼Ò¹É¸®¿¡,869,Master,0,72,246,212,54%
Dabb1er,870,Master,0,59,238,166,59%
³Í ¿©ÀüÈ÷ ¿¹»Ú´Ù,871,Diamond 1,51,99,233,210,53%
absdf12345,872,Master,0,90,221,197,53%
Ä«Ä«¿ÀÅåÀº³ë¶õ»ö,873,Master,0,71,214,168,56%
He1 wa,874,Master,47,57,216,141,61%
¹é ²á,875,Master,0,131,205,177,54%
Labest,876,Master,0,54,196,148,57%
YOUSONOJAM,877,Master,0,60,196,154,56%
±×¸®¿ü´ø³¯,878,Master,0,85,195,165,54%
ÀÍ ´¨,879,Master,0,97,193,155,55%
Âî²¨±â,880,Master,0,88,190,148,56%
Èñ¸Á ¹ÏÀ½ ½Å·Ú,881,Master,0,68,189,158,54%
Á¶¿ëÈ÷°×¸¸ÇØ¿©,882,Master,0,75,184,155,54%
lºí·çºñÆ²l,883,Master,0,69,182,150,55%
¾ÆÀÌº¸¸®»ç»ýÆÒ,884,Master,0,68,181,132,58%
Micca,885,Master,0,101,178,147,55%
I do not have to,886,Master,0,55,155,90,63%
ÆÀÀÌµÚÆ²¸°»ç¶÷,887,Master,0,87,153,126,55%
¹Ì¾ÖÅ³·¯,888,Master,0,52,151,93,62%
µ¨ÀÌ°¡ Áø¾Æ¿¡°Ô,889,Master,0,69,147,88,63%
hunjiuwanshile,890,Master,0,45,146,98,60%
hhhi,891,Master,0,77,143,113,56%
±ºÀÎÀÌ¶óÀß¸øÇØ¿ä,892,Master,0,53,142,97,59%
